transport_,src_conn,dst_conn,source_,destination_,source_hash,destination_hash
iterator_v2: 299,vertica_writer,vertica_writer,analytics.order_item_taxes,dm_maker_sandbox.metasearch_cost,8557628940524641664,8939763255686406667
iterator_v1: 3,vertica_writer,vertica_writer,flex.access_json_v2,analytics.site_search_terms,3647165189277293459,885509412911620908
iterator_v2: 421,vertica_writer,vertica_writer,partners.partners_contract,dm_maker_sandbox.hotelpage_show_dashboard_v1,5767082907166327490,4406665622264126692
iterator_v2: 1009,vertica_writer,vertica_writer,analytics.currency_converter,dm_maker_sandbox.b2b_market_dashboard,2726130926009016445,4662474248087910301
iterator_v2: 848,vertica_writer,vertica_writer,partners.partners_profile,dm_maker_sandbox.partners_pricing_priors_v1,2438976303386323791,2871652290250064788
iterator_v2: 593,vertica_writer,vertica_writer,analytics.discrepancy_hunter,dm_maker_sandbox.discrepancy_hunter_agg,1444892739809097692,746718826865721288
iterator_v2: 381,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.smearing_not_paid_for_test,3120000265886404500,6599836663216569801
iterator_v2: 1421,vertica_writer,vertica_writer,dm_maker_sandbox.stat_crm_hotel_priority_data_v4_history,analytics.stat_crm_hotel_priority_data,770340845631558861,4331501471137166184
iterator_v2: 846,vertica_writer,vertica_writer,dm_maker_sandbox.ops_costs_incident_prevention_action_log,dm_maker_sandbox.ops_costs_incident_prevention_cost_model_data,2184900752376644728,4781609358932957697
iterator_v2: 1426,vertica_writer,vertica_writer,crm.action_log_actionlogsubject,analytics.stat_crm_hotel_priority_data,1766133563730502374,4331501471137166184
iterator_v2: 538,vertica_writer,vertica_writer,analytics.hit_funnel,dm_maker_sandbox.ctz_sessions_revenue,3146418025069425003,5238001691752730299
iterator_v2: 1615,vertica_writer,vertica_writer,public.region2geo,dm_maker_sandbox.profit_metric_tpp_v1,8948579784535844105,4720054455229572318
iterator_v2: 1285,vertica_writer,vertica_writer,hotcore.suppliers_connection_history,dm_maker_sandbox.supplier_feed_status_v1,2042688619477226474,3868368190732199641
iterator_v2: 1133,vertica_writer,vertica_writer,dataportal.metadata_table_history,dm_maker_sandbox.historical_data_completeness,4177727608587626392,1564456047364042239
iterator_v2: 350,vertica_writer,vertica_writer,analytics.currency_history,dm_maker_sandbox.metasearch_costs_v3,2302038586775913509,6455908293817664003
iterator_v2: 794,vertica_writer,vertica_writer,partners.b2b_b2bordergroup,dm_maker_sandbox.payota_data_v6,6041638097117761213,3724940603889488352
iterator_v2: 1060,vertica_writer,vertica_writer,public.region,dm_maker_sandbox.region2geo_v2,4143286934503637128,8915709348483303882
iterator_v2: 1269,vertica_writer,vertica_writer,partners.avia_orderitem,dm_maker_sandbox.b2b_account_manager_desktop_v2,2408181764072403202,18709263158825993
iterator_v2: 778,vertica_writer,vertica_writer,ostrota.accounts_sessionid,dm_maker_sandbox.order_descriptive_attributes_v2,1694032340505480792,8922502211818073872
iterator_v2: 1290,vertica_writer,vertica_writer,ostrota.orders_orderitem,actualize.order_original_hotcore_rate,5396322364307994377,8748109620811904791
iterator_v2: 1256,vertica_writer,vertica_writer,partners.partners_profile,dm_maker_sandbox.b2b_product_metrics_dashboard_br,2438976303386323791,8795927902201545746
iterator_v2: 1349,vertica_writer,vertica_writer,analytics.otahotel,dm_maker_sandbox.stat_crm_hotel_priority_data_v2,3294040447945237763,5591318411524406082
iterator_v2: 562,vertica_writer,vertica_writer,analytics.region,dm_maker_sandbox.matching_dashboard_data_562,7349262438846941395,638698814065352415
iterator_v2: 1341,vertica_writer,vertica_writer,public.booking_cancellation,dm_maker_sandbox.yandex_direct_fnbc,7731680662453010698,546391856995973694
iterator_v2: 782,vertica_writer,vertica_writer,ostrota.auth_user,dm_maker_sandbox.order_personal_client_data,653827730281830538,4336145321352142499
iterator_v2: 1586,vertica_writer,vertica_writer,ostrota.monitoring_errorcodegroup,dm_maker_sandbox.failed_orderitem,3839823173962159493,8509441088538696576
iterator_v2: 852,vertica_writer,vertica_writer,analytics.agent_team_history,dm_maker_sandbox.ops_costs_front_office_final,4033282795251918280,964063443593490117
iterator_v2: 649,vertica_writer,vertica_writer,weblogs2.hit_funnel_rate,analytics.hotelpage_score_data,5250396001586589285,4519880887763988462
iterator_v2: 1223,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.session_multichannel_v2,3120000265886404500,7203057405901270778
iterator_v2: 625,vertica_writer,vertica_writer,metasearch.tripadvisor_costs,analytics.cost_cpc,6865540877154223616,7985033926683584240
iterator_v2: 1190,vertica_writer,vertica_writer,ostrota.orders_orderhotcorerate,analytics.order_commission,2083419532775102728,7305274796731746569
iterator_v2: 1129,vertica_writer,vertica_writer,crm.b2bgroup_accommodation_additional_services_history,dm_maker_sandbox.historical_data_completeness,4502100556939366813,1564456047364042239
iterator_v2: 1385,vertica_writer,vertica_writer,ostrota.fidelity_fidelityaccount,dm_maker_sandbox.session_multichannel_v6,986520520624062305,920606748632688632
iterator_v2: 1471,vertica_writer,vertica_writer,crm.tickets_ticketsimple,dm_maker_sandbox.opscost_front_inboxes,3243477926179919170,850453353973888762
iterator_v2: 413,vertica_writer,vertica_writer,public.booking,analytics.meta_costs,3120000265886404500,1083697045247788369
